"TIME","GEO","SIEC","PLANT_TEC","UNIT","Value","Flag and Footnotes"
"2010","Hungary","Solar","Net maximum electrical capacity","Megawatt","2.000",""
"2010","Malta","Hydro","Net maximum electrical capacity","Megawatt",":",""
"2010","Malta","Geothermal","Net maximum electrical capacity","Megawatt",":",""
"2010","Malta","Wind","Net maximum electrical capacity","Megawatt",":",""
"2010","Malta","Solar","Net maximum electrical capacity","Megawatt","0.800",""
"2010","Netherlands","Hydro","Net maximum electrical capacity","Megawatt","37.000",""
"2010","Netherlands","Geothermal","Net maximum electrical capacity","Megawatt",":",""
"2010","Netherlands","Wind","Net maximum electrical capacity","Megawatt","2,237.000",""
"2010","Netherlands","Solar","Net maximum electrical capacity","Megawatt","90.000",""
"2010","Austria","Hydro","Net maximum electrical capacity","Megawatt","12,894.848",""
"2010","Austria","Geothermal","Net maximum electrical capacity","Megawatt","0.915",""
"2010","Austria","Wind","Net maximum electrical capacity","Megawatt","1,015.828",""
"2010","Austria","Solar","Net maximum electrical capacity","Megawatt","88.813",""
"2010","Poland","Hydro","Net maximum electrical capacity","Megawatt","2,342.000",""
"2010","Poland","Geothermal","Net maximum electrical capacity","Megawatt",":",""
"2010","Poland","Wind","Net maximum electrical capacity","Megawatt","1,108.000",""
"2010","Poland","Solar","Net maximum electrical capacity","Megawatt",":",""
"2010","Portugal","Hydro","Net maximum electrical capacity","Megawatt","5,106.000",""
"2010","Portugal","Geothermal","Net maximum electrical capacity","Megawatt","25.000",""
"2010","Portugal","Wind","Net maximum electrical capacity","Megawatt","3,796.000",""
"2010","Portugal","Solar","Net maximum electrical capacity","Megawatt","134.000",""
"2010","Romania","Hydro","Net maximum electrical capacity","Megawatt","6,474.000",""
"2010","Romania","Geothermal","Net maximum electrical capacity","Megawatt",":",""
"2010","Romania","Wind","Net maximum electrical capacity","Megawatt","389.000",""
"2010","Romania","Solar","Net maximum electrical capacity","Megawatt",":",""
"2010","Slovenia","Hydro","Net maximum electrical capacity","Megawatt","1,254.000",""
"2010","Slovenia","Geothermal","Net maximum electrical capacity","Megawatt",":",""
"2010","Slovenia","Wind","Net maximum electrical capacity","Megawatt",":",""
"2010","Slovenia","Solar","Net maximum electrical capacity","Megawatt","12.000",""
"2010","Slovakia","Hydro","Net maximum electrical capacity","Megawatt","2,516.000",""
"2010","Slovakia","Geothermal","Net maximum electrical capacity","Megawatt",":",""
"2010","Slovakia","Wind","Net maximum electrical capacity","Megawatt","3.000",""
"2010","Slovakia","Solar","Net maximum electrical capacity","Megawatt","19.000",""
"2010","Finland","Hydro","Net maximum electrical capacity","Megawatt","3,155.000",""
"2010","Finland","Geothermal","Net maximum electrical capacity","Megawatt",":",""
"2010","Finland","Wind","Net maximum electrical capacity","Megawatt","197.000",""
"2010","Finland","Solar","Net maximum electrical capacity","Megawatt","7.000",""
"2010","Sweden","Hydro","Net maximum electrical capacity","Megawatt","16,732.000",""
"2010","Sweden","Geothermal","Net maximum electrical capacity","Megawatt",":",""
"2010","Sweden","Wind","Net maximum electrical capacity","Megawatt","2,017.000",""
"2010","Sweden","Solar","Net maximum electrical capacity","Megawatt","11.000",""
"2010","United Kingdom","Hydro","Net maximum electrical capacity","Megawatt","4,391.000",""
"2010","United Kingdom","Geothermal","Net maximum electrical capacity","Megawatt",":",""
"2010","United Kingdom","Wind","Net maximum electrical capacity","Megawatt","5,421.232",""
"2010","United Kingdom","Solar","Net maximum electrical capacity","Megawatt","95.000",""
"2010","Iceland","Hydro","Net maximum electrical capacity","Megawatt","1,883.000",""
"2010","Iceland","Geothermal","Net maximum electrical capacity","Megawatt","575.000",""
"2010","Iceland","Wind","Net maximum electrical capacity","Megawatt",":",""
"2010","Iceland","Solar","Net maximum electrical capacity","Megawatt",":",""
"2010","Norway","Hydro","Net maximum electrical capacity","Megawatt","29,693.000",""
"2010","Norway","Geothermal","Net maximum electrical capacity","Megawatt",":",""
"2010","Norway","Wind","Net maximum electrical capacity","Megawatt","425.000",""
"2010","Norway","Solar","Net maximum electrical capacity","Megawatt",":",""
"2010","Montenegro","Hydro","Net maximum electrical capacity","Megawatt","676.000",""
"2010","Montenegro","Geothermal","Net maximum electrical capacity","Megawatt",":",""
"2010","Montenegro","Wind","Net maximum electrical capacity","Megawatt",":",""
"2010","Montenegro","Solar","Net maximum electrical capacity","Megawatt",":",""
"2010","North Macedonia","Hydro","Net maximum electrical capacity","Megawatt","555.000",""
"2010","North Macedonia","Geothermal","Net maximum electrical capacity","Megawatt",":",""
"2010","North Macedonia","Wind","Net maximum electrical capacity","Megawatt",":",""
"2010","North Macedonia","Solar","Net maximum electrical capacity","Megawatt",":",""
"2010","Albania","Hydro","Net maximum electrical capacity","Megawatt","1,475.000",""
"2010","Albania","Geothermal","Net maximum electrical capacity","Megawatt",":",""
"2010","Albania","Wind","Net maximum electrical capacity","Megawatt",":",""
"2010","Albania","Solar","Net maximum electrical capacity","Megawatt",":",""
"2010","Serbia","Hydro","Net maximum electrical capacity","Megawatt","2,907.206",""
"2010","Serbia","Geothermal","Net maximum electrical capacity","Megawatt",":",""
"2010","Serbia","Wind","Net maximum electrical capacity","Megawatt",":",""
"2010","Serbia","Solar","Net maximum electrical capacity","Megawatt",":",""
"2010","Turkey","Hydro","Net maximum electrical capacity","Megawatt","15,831.000",""
"2010","Turkey","Geothermal","Net maximum electrical capacity","Megawatt","94.000",""
"2010","Turkey","Wind","Net maximum electrical capacity","Megawatt","1,320.000",""
"2010","Turkey","Solar","Net maximum electrical capacity","Megawatt",":",""
"2010","Bosnia and Herzegovina","Hydro","Net maximum electrical capacity","Megawatt",":",""
"2010","Bosnia and Herzegovina","Geothermal","Net maximum electrical capacity","Megawatt",":",""
"2010","Bosnia and Herzegovina","Wind","Net maximum electrical capacity","Megawatt",":",""
"2010","Bosnia and Herzegovina","Solar","Net maximum electrical capacity","Megawatt",":",""
"2010","Kosovo (under United Nations Security Council Resolution 1244/99)","Hydro","Net maximum electrical capacity","Megawatt","42.000",""
"2010","Kosovo (under United Nations Security Council Resolution 1244/99)","Geothermal","Net maximum electrical capacity","Megawatt",":",""
"2010","Kosovo (under United Nations Security Council Resolution 1244/99)","Wind","Net maximum electrical capacity","Megawatt","1.000",""
"2010","Kosovo (under United Nations Security Council Resolution 1244/99)","Solar","Net maximum electrical capacity","Megawatt",":",""
"2010","Moldova","Hydro","Net maximum electrical capacity","Megawatt","16.000",""
"2010","Moldova","Geothermal","Net maximum electrical capacity","Megawatt",":",""
"2010","Moldova","Wind","Net maximum electrical capacity","Megawatt",":",""
"2010","Moldova","Solar","Net maximum electrical capacity","Megawatt",":",""
"2010","Ukraine","Hydro","Net maximum electrical capacity","Megawatt","5,458.000",""
"2010","Ukraine","Geothermal","Net maximum electrical capacity","Megawatt",":",""
"2010","Ukraine","Wind","Net maximum electrical capacity","Megawatt","88.000",""
"2010","Ukraine","Solar","Net maximum electrical capacity","Megawatt",":",""
"2010","Georgia","Hydro","Net maximum electrical capacity","Megawatt",":",""
"2010","Georgia","Geothermal","Net maximum electrical capacity","Megawatt",":",""
"2010","Georgia","Wind","Net maximum electrical capacity","Megawatt",":",""
"2010","Georgia","Solar","Net maximum electrical capacity","Megawatt",":",""
"2011","European Union - 27 countries (from 2020)","Hydro","Net maximum electrical capacity","Megawatt","144,459.333",""
"2011","European Union - 27 countries (from 2020)","Geothermal","Net maximum electrical capacity","Megawatt","776.215",""
"2011","European Union - 27 countries (from 2020)","Wind","Net maximum electrical capacity","Megawatt","87,406.530",""
"2011","European Union - 27 countries (from 2020)","Solar","Net maximum electrical capacity","Megawatt","53,287.510",""
"2011","European Union - 28 countries (2013-2020)","Hydro","Net maximum electrical capacity","Megawatt","148,882.333",""
